"Date","Three Fund Portfolio","Inflation"
"1972-07-07",13149.03,11072.99
"1972-07-10",13115.72,11078.12
"1972-07-11",13096.88,11079.83
"1972-07-12",13048.46,11081.54
"1972-07-13",12976.53,11083.25
"1972-07-14",13049.49,11084.97
"1972-07-17",12977.47,11090.1
"1972-07-18",12934.05,11091.81
"1972-07-19",12984.9,11093.52
"1972-07-20",12939.86,11095.23
"1972-07-21",13023.09,11096.95
"1972-07-24",13120.15,11102.08
"1972-07-25",13063.15,11103.79
"1972-07-26",13152.53,11105.5
"1972-07-27",13146.81,11107.21
"1972-07-28",13134.78,11108.92
"1972-07-31",13116.57,11114.06
"1972-08-01",13243.08,11114.91
"1972-08-02",13380.66,11115.77
"1972-08-03",13450.98,11116.63
"1972-08-04",13470.77,11117.48
"1972-08-07",13416.32,11120.05
"1972-08-08",13453.89,11120.9
"1972-08-09",13426.86,11121.76
"1972-08-10",13493.75,11122.61
"1972-08-11",13601.69,11123.47
"1972-08-14",13635,11126.04
"1972-08-15",13557,11126.89
"1972-08-16",13557.55,11127.75
"1972-08-17",13497.8,11128.6
"1972-08-18",13541.87,11129.46
"1972-08-21",13529.35,11132.03
"1972-08-22",13584.2,11132.88
"1972-08-23",13579.67,11133.74
"1972-08-24",13424.53,11134.59
"1972-08-25",13421.29,11135.45
"1972-08-28",13391.71,11138.02
"1972-08-29",13431.86,11138.87
"1972-08-30",13432.57,11139.73
"1972-08-31",13433.2,11140.58
"1972-09-01",13522.05,11141.47
"1972-09-05",13494.11,11145
"1972-09-06",13376.94,11145.89
"1972-09-07",13295.8,11146.77
"1972-09-08",13227.21,11147.66
"1972-09-11",13128.65,11150.31
"1972-09-12",13080.32,11151.19
"1972-09-13",13100.62,11152.08
"1972-09-14",13033.03,11152.96
"1972-09-15",13038.34,11153.85
"1972-09-18",13005.66,11156.5
"1972-09-19",12954.36,11157.38
"1972-09-20",12935.87,11158.27
"1972-09-21",12949.2,11159.15
"1972-09-22",12966.41,11160.04
"1972-09-25",12915.76,11162.69
"1972-09-26",12944.21,11163.57
"1972-09-27",13098.37,11164.46
"1972-09-28",13135.38,11165.34
"1972-09-29",13201.13,11166.22
"1972-10-02",13093.78,11170.53
"1972-10-03",13063.39,11172.24
"1972-10-04",13048.54,11173.95
"1972-10-05",12965.21,11175.67
"1972-10-06",13002,11177.38
"1972-10-09",13044.66,11182.51
"1972-10-10",13033.18,11184.22
"1972-10-11",13023.4,11185.93
"1972-10-12",12915.29,11187.64
"1972-10-13",12884.31,11189.36
"1972-10-16",12794,11194.49
"1972-10-17",12886.17,11196.2
"1972-10-18",12963.94,11197.91
"1972-10-19",12919.47,11199.62
"1972-10-20",13017.27,11201.33
"1972-10-23",13141.5,11206.47
"1972-10-24",13194.38,11208.18
"1972-10-25",13186.46,11209.89
"1972-10-26",13261.03,11211.6
"1972-10-27",13248.24,11213.31
"1972-10-30",13281.27,11218.45
"1972-10-31",13330.66,11220.16
"1972-11-01",13491.41,11221.04
"1972-11-02",13612.71,11221.93
"1972-11-03",13732.49,11222.81
"1972-11-06",13744.97,11225.46
"1972-11-08",13661.6,11227.23
"1972-11-09",13683,11228.12
"1972-11-10",13771.56,11229
"1972-11-13",13787.6,11231.65
"1972-11-14",13911.75,11232.54
"1972-11-15",13871.32,11233.42
"1972-11-16",13959.44,11234.31
"1972-11-17",13983.89,11235.19
"1972-11-20",14012.25,11237.84
"1972-11-21",14003.75,11238.73
"1972-11-22",14068.37,11239.61
"1972-11-24",14095.22,11241.38
"1972-11-27",14051.56,11244.03
"1972-11-28",13985.55,11244.92
"1972-11-29",14038.78,11245.8
"1972-11-30",14011.95,11246.68
"1972-12-01",14060.37,11247.54
"1972-12-04",14107.68,11250.11
"1972-12-05",14036.07,11250.96
"1972-12-06",14144.8,11251.82
"1972-12-07",14192.55,11252.67
"1972-12-08",14192.81,11253.53
"1972-12-11",14223.1,11256.1
"1972-12-12",14198.61,11256.95
"1972-12-13",14179.97,11257.81
"1972-12-14",14137.6,11258.66
"1972-12-15",14173.9,11259.52
"1972-12-18",14035.83,11262.09
"1972-12-19",13949.19,11262.94
"1972-12-20",13921.91,11263.8
"1972-12-21",13844.93,11264.65
"1972-12-22",13921.9,11265.51
"1972-12-26",13946.18,11268.93
"1972-12-27",13991.7,11269.79
"1972-12-29",14112.4,11271.5
"1973-01-02",14207.13,11274.92
"1973-01-03",14245.56,11275.78
"1973-01-04",13989.65,11276.63
"1973-01-05",14048.25,11277.49
"1973-01-08",14030.34,11280.05
"1973-01-09",13987.57,11280.91
"1973-01-10",13952.22,11281.77
"1973-01-11",14067.9,11282.62
